,JobType,JobTemplateId,Abandon Count,Completion Count,Failed Count,Fatal Error Count,,CharacterId,Abandon Count,Completion Count
Bring a Crate of 5 Bank Bonds to two stops.,Delivery,751,3,0,0,0,,14320,12,58
Bring 10 boiled potatoes to the Valentine church.,Deposit,2,4,0,0,28,,4219,8,44
Bring crates of 5 Bank Bonds to three stops.,Delivery,797,1,0,0,0,,9016,8,119
Help Drive 3 Bovine to Hanging Dog Ranch.,Herding,1054,6,0,0,0,,18821,7,76
Help drive 3 Bovine to McFarlane Ranch.,Herding,1078,2,0,6,0,,20708,7,35
10 Chopped Wood in Crates needed at Four locations starting at Manteca Falls.,Delivery,578,3,0,0,0,,21017,6,29
Bring 2 Ram Carcasses to Colter,Hunting,1025,14,0,0,0,,19374,6,20
10 Units of Chopped Wood needed at Fort Wallace posthaste!,Deposit,60,3,0,0,0,,23104,5,30
Deliver 3 Rats to the Bridge,Deposit,255,4,0,0,0,,22576,5,12
Help Drive 3 Cattle to Emerald Ranch,Herding,1100,10,0,5,0,,18875,5,44
4 Customers are requesting delivery of Small Logs,Delivery,750,1,0,0,0,,23294,4,23
Deliver 2 Gold Bars in crates to 4 locations.,Delivery,759,0,0,1,0,,22930,4,12
Deliver 3 Scalloped Potatoes to Hotbox 2,Deposit,271,1,0,0,0,,12264,3,7
Deliver 3 Gold Bars to the Gaptooth Moonshine Still,Deposit,503,2,0,0,0,,21273,3,5
Deliver 3 Gold Bars in crates to 3 locations.,Delivery,769,0,0,1,0,,21424,3,0
Bring 5 Pheasant Carcasses to the Valentine Butcher,Hunting,901,2,0,0,0,,17313,3,19
Help Drive 3 Cattle to Beecher's Hope,Herding,1102,2,0,0,0,,12852,3,22
Bring 3 Cups of Hot Chocolate to the Armadillo Medical Office,Deposit,1490,1,0,0,0,,20050,3,6
Deliver 5 Tarnished Rings to the Bridge,Deposit,211,5,0,0,0,,11053,2,24
Haul 20 Units of Coal to Armadillo,Deposit,308,1,0,0,0,,17516,1,37
Deliver 10 Corn On The Cob to the Armadillo General Store,Deposit,373,2,0,0,0,,10490,1,0
Deliver 10 Corn On The Cob to the Armadillo General Store,Deposit,375,1,0,0,0,,19476,1,10
Deliver Crates of 10 Chopped Wood each to 3 locations throughout New Austin.,Delivery,591,1,0,0,0,,5097,1,10
